value,source,target
1.350286,"Pedestrian road injuries by road vehicle","Dislocation of hip"
.0643782,"Unintentional firearm injuries","Dislocation of hip"
.0037946,"Poisonings","Dislocation of hip"
.2682342,"Cyclist road injuries","Dislocation of hip"
.0545974,"Venomous animal contact","Dislocation of hip"
.3522712,"Animal contact","Dislocation of hip"
6.372848,"Road injuries","Dislocation of hip"
.8305935,"Fire, heat, and hot substances","Dislocation of hip"
.0180889,"Self-harm","Dislocation of hip"
.0026304,"Foreign body in eyes","Dislocation of hip"
.2976738,"Non-venomous animal contact","Dislocation of hip"
2.123371,"Other transport injuries","Dislocation of hip"
.0037352,"Pulmonary aspiration and foreign body in airway","Dislocation of hip"
.0368191,"Assault by sharp object","Dislocation of hip"
.4064601,"Unintentional suffocation","Dislocation of hip"
1.013363,"Motorcyclist road injuries","Dislocation of hip"
.3203871,"Drowning","Dislocation of hip"
.0123806,"Foreign body in other body part","Dislocation of hip"
8.05443,"Falls","Dislocation of hip"
10.23922,"Other unintentional injuries","Dislocation of hip"
1.47539,"Exposure to mechanical forces","Dislocation of hip"
3.70408,"Motor vehicle road injuries","Dislocation of hip"
.0855269,"Interpersonal violence","Dislocation of hip"
1.004552,"Other exposure to mechanical forces","Dislocation of hip"
.0422867,"Assault by other means","Dislocation of hip"
.0064211,"Assault by firearm","Dislocation of hip"
.0368847,"Other road injuries","Dislocation of hip"
6.871716,"Pedestrian road injuries by road vehicle","Dislocation of knee"
93.7042,"Falls","Dislocation of knee"
.1870022,"Assault by firearm","Dislocation of knee"
2.469841,"Cyclist road injuries","Dislocation of knee"
.8884522,"Assault by other means","Dislocation of knee"
3.652987,"Motor vehicle road injuries","Dislocation of knee"
2.266174,"Non-venomous animal contact","Dislocation of knee"
5.57294,"Motorcyclist road injuries","Dislocation of knee"
.5427964,"Poisonings","Dislocation of knee"
18.81101,"Road injuries","Dislocation of knee"
15.92109,"Exposure to mechanical forces","Dislocation of knee"
.1213328,"Self-harm","Dislocation of knee"
14.69163,"Other exposure to mechanical forces","Dislocation of knee"
.2237175,"Foreign body in eyes","Dislocation of knee"
.2435302,"Other road injuries","Dislocation of knee"
1.720699,"Pulmonary aspiration and foreign body in airway","Dislocation of knee"
1.305024,"Venomous animal contact","Dislocation of knee"
8.774323,"Other unintentional injuries","Dislocation of knee"
1.51342,"Interpersonal violence","Dislocation of knee"
.000228,"Unintentional suffocation","Dislocation of knee"
11.92229,"Other transport injuries","Dislocation of knee"
8.41886,"Drowning","Dislocation of knee"
.0812876,"Foreign body in other body part","Dislocation of knee"
1.229231,"Unintentional firearm injuries","Dislocation of knee"
6.456573,"Fire, heat, and hot substances","Dislocation of knee"
.4379656,"Assault by sharp object","Dislocation of knee"
3.571199,"Animal contact","Dislocation of knee"
.1305891,"Assault by firearm","Dislocation of shoulder"
2.786299,"Poisonings","Dislocation of shoulder"
1.383962,"Other road injuries","Dislocation of shoulder"
2.664397,"Assault by other means","Dislocation of shoulder"
.0847518,"Foreign body in eyes","Dislocation of shoulder"
16.02341,"Motor vehicle road injuries","Dislocation of shoulder"
.1610966,"Foreign body in other body part","Dislocation of shoulder"
13.02726,"Pedestrian road injuries by road vehicle","Dislocation of shoulder"
8.424989,"Cyclist road injuries","Dislocation of shoulder"
1.066289,"Assault by sharp object","Dislocation of shoulder"
11.68657,"Animal contact","Dislocation of shoulder"
3.88828,"Unintentional firearm injuries","Dislocation of shoulder"
30.62319,"Exposure to mechanical forces","Dislocation of shoulder"
