value,source,target
.4194835,"Unintentional suffocation","Dislocation of hip"
.0073493,"Foreign body in other body part","Dislocation of hip"
.0035879,"Poisonings","Dislocation of hip"
.0037881,"Pulmonary aspiration and foreign body in airway","Dislocation of hip"
.2340593,"Non-venomous animal contact","Dislocation of hip"
10.60918,"Road injuries","Dislocation of hip"
3.477442,"Other transport injuries","Dislocation of hip"
.516513,"Fire, heat, and hot substances","Dislocation of hip"
.0217615,"Self-harm","Dislocation of hip"
.11968,"Other road injuries","Dislocation of hip"
.1828565,"Interpersonal violence","Dislocation of hip"
.2868295,"Cyclist road injuries","Dislocation of hip"
6.005282,"Motor vehicle road injuries","Dislocation of hip"
.1064831,"Venomous animal contact","Dislocation of hip"
.0017512,"Foreign body in eyes","Dislocation of hip"
8.529793,"Other unintentional injuries","Dislocation of hip"
6.303365,"Falls","Dislocation of hip"
.1025282,"Drowning","Dislocation of hip"
.3405425,"Animal contact","Dislocation of hip"
.0294819,"Unintentional firearm injuries","Dislocation of hip"
.113852,"Assault by other means","Dislocation of hip"
2.437379,"Exposure to mechanical forces","Dislocation of hip"
2.577417,"Motorcyclist road injuries","Dislocation of hip"
1.619975,"Pedestrian road injuries by road vehicle","Dislocation of hip"
.0604531,"Assault by sharp object","Dislocation of hip"
.0085514,"Assault by firearm","Dislocation of hip"
1.988413,"Other exposure to mechanical forces","Dislocation of hip"
19.67336,"Exposure to mechanical forces","Dislocation of knee"
37.21727,"Road injuries","Dislocation of knee"
.3763437,"Assault by sharp object","Dislocation of knee"
1.453698,"Interpersonal violence","Dislocation of knee"
.8065664,"Assault by other means","Dislocation of knee"
3.074147,"Cyclist road injuries","Dislocation of knee"
.1295464,"Self-harm","Dislocation of knee"
.0004999,"Unintentional suffocation","Dislocation of knee"
.2707881,"Assault by firearm","Dislocation of knee"
12.18475,"Drowning","Dislocation of knee"
6.144718,"Motor vehicle road injuries","Dislocation of knee"
.0790072,"Foreign body in other body part","Dislocation of knee"
11.03933,"Fire, heat, and hot substances","Dislocation of knee"
5.928613,"Non-venomous animal contact","Dislocation of knee"
.360018,"Poisonings","Dislocation of knee"
10.62297,"Pedestrian road injuries by road vehicle","Dislocation of knee"
84.37141,"Falls","Dislocation of knee"
11.21285,"Other unintentional injuries","Dislocation of knee"
.1530569,"Foreign body in eyes","Dislocation of knee"
.4255669,"Other road injuries","Dislocation of knee"
