source,target,value
"Non-venomous animal contact","Moderate to severe traumatic brain injury",17492.38
"Non-venomous animal contact","Spinal cord lesion below neck level",26844.75
"Non-venomous animal contact","Fracture of femur, other than femoral neck",24533.21
"Non-venomous animal contact","Asphyxiation",65.17
"Non-venomous animal contact","Amputation of both lower limbs",7.035
"Non-venomous animal contact","Severe chest Injury",7165.921
"Non-venomous animal contact","Amputation of finger (excluding thumb)",5979.638
"Non-venomous animal contact","Dislocation of knee",17003.18
"Non-venomous animal contact","Crush injury",1690.269
"Non-venomous animal contact","Environmental factors (e.g. temperature, pressure, electricity)",783.51
"Non-venomous animal contact","Contusion",178405.4
"Non-venomous animal contact","Amputation of both upper limbs",50.981
"Non-venomous animal contact","Fracture of face bone",7557.312
"Non-venomous animal contact","Poisoning",128299.2
"Non-venomous animal contact","Foreign body in ear",6156.066
"Non-venomous animal contact","Foreign body in gastrointestinal or urogenital system",1144.339
"Non-venomous animal contact","Fracture of neck of femur",23000.83
"Non-venomous animal contact","Amputation of one upper limb",478.821
"Non-venomous animal contact","Minor traumatic brain injury",7812.12
"Non-venomous animal contact","Superficial injury",6796442
"Non-venomous animal contact","Fracture of patella, tibia, fibula, or ankle",35978.43
"Non-venomous animal contact","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands",1439.753
"Non-venomous animal contact","Non-fatal submersion",168.455
"Non-venomous animal contact","Multiple significant injuries",76369.72
"Non-venomous animal contact","Open wound",2.82e+07
"Non-venomous animal contact","Injured nerves",2864.484
"Non-venomous animal contact","Fracture of hand bone",20500.19
"Non-venomous animal contact","Fracture of skull",6649.013
"Non-venomous animal contact","Amputation of toe",1325.513
"Non-venomous animal contact","Internal hemorrhage in abdomen or pelvis",52113
"Non-venomous animal contact","Fracture of vertebral column",6185.76
"Non-venomous animal contact","Fracture of pelvis",3091.872
"Non-venomous animal contact","Injury to eyes (including foreign body eye)",72455.53
"Non-venomous animal contact","Foreign body in respiratory system",1168.72
"Non-venomous animal contact","Amputation of thumb",2523.682
"Non-venomous animal contact","Other injuries of muscle & tendon and other dislocations",8249024
"Non-venomous animal contact","Fracture of sternum or rib(s)",3410.001
"Non-venomous animal contact","Dislocation of hip",2661.001
"Non-venomous animal contact","Dislocation of shoulder",2417.198
"Non-venomous animal contact","Fracture of clavicle, scapula, or humerus",26622.98
"Non-venomous animal contact","Lower airway burns",9.618
"Non-venomous animal contact","Fracture of foot bone",8370.565
"Non-venomous animal contact","Amputation of one lower limb",573.517
"Non-venomous animal contact","Burns with <20% total burned surface area",5335.729
"Non-venomous animal contact","Fracture of radius or ulna",26118.71
"Non-venomous animal contact","Complications of medical treatment",8308.279
"Non-venomous animal contact","Spinal cord lesion at neck level",58.044
"Venomous animal contact","Multiple significant injuries",171184
"Venomous animal contact","Minor traumatic brain injury",1629.145
"Venomous animal contact","Fracture of face bone",3474.135
"Venomous animal contact","Amputation of toe",238.826
"Venomous animal contact","Other injuries of muscle & tendon and other dislocations",268751.3
"Venomous animal contact","Spinal cord lesion at neck level",32.368
"Venomous animal contact","Environmental factors (e.g. temperature, pressure, electricity)",1797.194
"Venomous animal contact","Asphyxiation",161
"Venomous animal contact","Fracture of radius or ulna",15449.6
"Venomous animal contact","Dislocation of shoulder",1016.372
"Venomous animal contact","Amputation of finger (excluding thumb)",1605.163
"Venomous animal contact","Dislocation of hip",438.27
"Venomous animal contact","Amputation of one lower limb",542.64
"Venomous animal contact","Fracture of pelvis",3689.119
"Venomous animal contact","Fracture of neck of femur",4566.884
"Venomous animal contact","Superficial injury",934479.7
"Venomous animal contact","Internal hemorrhage in abdomen or pelvis",66606.22
"Venomous animal contact","Lower airway burns",14.861
"Venomous animal contact","Moderate to severe traumatic brain injury",3707.753
"Venomous animal contact","Foreign body in ear",2059.071
"Venomous animal contact","Dislocation of knee",1219.442
"Venomous animal contact","Fracture of skull",1347.346
"Venomous animal contact","Non-fatal submersion",268.513
"Venomous animal contact","Amputation of one upper limb",27.468
"Venomous animal contact","Amputation of both lower limbs",.6391
"Venomous animal contact","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands",3883.733
"Venomous animal contact","Injured nerves",1081.346
"Venomous animal contact","Complications of medical treatment",15287.31
"Venomous animal contact","Spinal cord lesion below neck level",37.128
"Venomous animal contact","Amputation of both upper limbs",28.875
"Venomous animal contact","Poisoning",2177556
"Venomous animal contact","Amputation of thumb",91.427
"Venomous animal contact","Severe chest Injury",3717.462
"Venomous animal contact","Fracture of femur, other than femoral neck",4252.038
"Venomous animal contact","Fracture of sternum or rib(s)",102.998
"Venomous animal contact","Fracture of vertebral column",1024.898
